0 71 0.400156
1 85 0.398692
2 5066 0.356293
3 9455 0.356123
4 17308 0.355798
5 24018 0.257500
6 36571 0.252475
7 106 0.236523
8 1774 0.161927
9 2715 0.146373
10 901 0.146373
11 1051 0.146373
12 56 0.092749
13 123 0.086877
14 2010 0.081631
15 3974 0.081631
16 60796 0.073444
17 58478 0.073444
18 52046 0.069766
19 2588 0.055670
20 12183 0.050320
21 1390 0.050320
22 19782 0.050320
23 73932 0.048393
24 3316 0.047875
25 24327 0.047872
26 6908 0.042941
27 5764 0.038058
28 117305 0.036288
29 2528 0.024761
30 2163 0.021649
31 8727 0.021140
32 14111 0.020128
33 9836 0.020128
34 40670 0.020127
35 151 0.020107
36 116 0.020107
37 8878 0.018499
38 161810 0.017837
39 92317 0.016611
40 12588 0.016605
41 6901 0.016605
42 18971 0.016605
43 123605 0.016597
44 124936 0.016597
45 9910 0.015497
46 8004 0.015497
47 33566 0.015252
48 18039 0.013966
49 43664 0.013932
50 38018 0.013925
51 9929 0.013754
52 1271 0.013463
53 4895 0.013458
54 9795 0.012590
55 1356 0.012367
56 6659 0.012367
57 37754 0.012322
58 32977 0.012272
59 87777 0.011824
60 14632 0.011660
61 36167 0.011616
62 57899 0.011562
63 69575 0.010799
64 89633 0.010530
65 15099 0.010521
66 17401 0.010227
67 167777 0.009955
68 742 0.009842
69 515 0.009842
70 15744 0.009819
71 27628 0.009542
72 20512 0.009542
73 138482 0.009386
74 155902 0.009386
75 97078 0.009272
76 23112 0.009072
77 4577 0.009072
78 6528 0.009051
79 10109 0.008954
80 39959 0.008739
81 66475 0.008739
82 49169 0.008680
83 43621 0.008680
84 49168 0.008680
85 221528 0.008572
86 15199 0.008549
87 16583 0.008549
88 135605 0.008526
89 137758 0.008452
90 7465 0.008438
91 63717 0.008049
92 30725 0.008026
93 16003 0.007982
94 292622 0.007853
95 146668 0.007604
96 130489 0.007502
97 280974 0.007454
98 62541 0.007443
99 48327 0.007443
